station_name,clean_lines,equipments,gtfs_stop_id,lat,lon,avg_daily_entries,avg_daily_exits,Elevator,Importance,Perc. Importance,Betweenness,destination,walking_dist
66th St - Lincoln Ctr,12,"EL237,EL238",124,40.77344,-73.982209,2495.586301369863,1130.2904109589042,EL238,1,50.0,1482.0714912178678,66th St - Lincoln Ctr,13.0
72nd St,123,"EL240,EL239",123,40.778453000000006,-73.98196999999998,2537.621917808219,1478.9232876712329,EL240,3,50.0,1449.4171857940835,72nd St,13.0
72nd St,123,"EL240,EL239",123,40.778453000000006,-73.98196999999998,2537.621917808219,1478.9232876712329,EL239,3,50.0,734.3916755787311,72nd St,13.0
72nd St,Q,"EL264,EL265,EL266,EL267,EL262,ES291,EL259,ES288,ES289,ES290,ES294,ES296,ES295,ES287,ES286,ES285",Q03,40.768799,-73.958424,992.7369863013698,1837.7506849315068,EL264,0,0.0,354.4000000000184,72nd St,13.0
72nd St,Q,"EL264,EL265,EL266,EL267,EL262,ES291,EL259,ES288,ES289,ES290,ES294,ES296,ES295,ES287,ES286,ES285",Q03,40.768799,-73.958424,992.7369863013698,1837.7506849315068,EL265,0,0.0,354.4000000000184,72nd St,13.0
72nd St,Q,"EL264,EL265,EL266,EL267,EL262,ES291,EL259,ES288,ES289,ES290,ES294,ES296,ES295,ES287,ES286,ES285",Q03,40.768799,-73.958424,992.7369863013698,1837.7506849315068,EL266,0,0.0,354.4000000000184,72nd St,13.0
72nd St,Q,"EL264,EL265,EL266,EL267,EL262,ES291,EL259,ES288,ES289,ES290,ES294,ES296,ES295,ES287,ES286,ES285",Q03,40.768799,-73.958424,992.7369863013698,1837.7506849315068,EL267,0,0.0,354.4000000000184,72nd St,13.0
72nd St,Q,"EL264,EL265,EL266,EL267,EL262,ES291,EL259,ES288,ES289,ES290,ES294,ES296,ES295,ES287,ES286,ES285",Q03,40.768799,-73.958424,992.7369863013698,1837.7506849315068,EL262,0,0.0,354.4000000000184,72nd St,13.0
72nd St,Q,"EL264,EL265,EL266,EL267,EL262,ES291,EL259,ES288,ES289,ES290,ES294,ES296,ES295,ES287,ES286,ES285",Q03,40.768799,-73.958424,992.7369863013698,1837.7506849315068,EL259,2,100.0,12390.0,72nd St,13.0
8th Ave,N,EL753,N02,40.635064,-74.011719,563.3342465753425,1282.3917808219178,EL753,1,100.0,2.0,8th Ave,18.0
8th Ave,L,EL224,L01,40.739777,-74.002578,,,EL224,2,100.0,1776.0,8th Ave,18.0
86th St,456,"EL745,EL273,EL275,EL274",626,40.779492,-73.955589,957.8301369863013,931.0465753424658,EL273,1,100.0,1776.0,86th St,20.0
86th St,456,"EL745,EL273,EL275,EL274",626,40.779492,-73.955589,957.8301369863013,931.0465753424658,EL273,1,100.0,1776.0,86th St,20.0
86th St,Q,"EL250,ES279,ES280,ES281,EL249,ES276,ES278,ES277,ES283,ES284,ES282,ES297,ES275,ES274,ES273",Q04,40.592721,-73.97823000000002,1682.704109589041,2052.586301369863,EL250,2,100.0,5.0,86th St,20.0
86th St,Q,"EL250,ES279,ES280,ES281,EL249,ES276,ES278,ES277,ES283,ES284,ES282,ES297,ES275,ES274,ES273",Q04,40.592721,-73.97823000000002,1682.704109589041,2052.586301369863,EL249,2,100.0,9.0,86th St,20.0
96th St,123,"EL146,EL145",120,40.793919,-73.972323,2318.1835616438357,1866.86301369863,EL146,3,50.0,5230.236493000844,,
96th St,123,"EL146,EL145",120,40.793919,-73.972323,2318.1835616438357,1866.86301369863,EL145,3,50.0,5918.814830094603,,
96th St,Q,"EL248,EL247,ES270,ES260,ES259,ES271,ES272,ES247,ES220,ES200,ES202",Q05,40.784318,-73.947152,927.0630136986301,1761.1561643835616,EL248,1,100.0,1776.0,,
96th St,Q,"EL248,EL247,ES270,ES260,ES259,ES271,ES272,ES247,ES220,ES200,ES202",Q05,40.784318,-73.947152,927.0630136986301,1761.1561643835616,EL247,1,100.0,5322.0,,
Aqueduct Racetrack,A,EL489X,H01,40.66823400000001,-73.834058,243.23013698630137,19.832876712328765,EL489X,1,100.0,1776.0,Aqueduct Racetrack,0.0
Aqueduct Racetrack,A,EL489X,H01,40.66823400000001,-73.834058,243.23013698630137,19.832876712328765,EL489X,1,100.0,1776.0,Aqueduct Racetrack,12.0
Atlantic Av - Barclay's Center,2345,"EL301,EL737X,EL300X,ES358X,ES310,EL306,EL303,EL304,EL305,EL307,EL302,EL700X,ES359X",235,40.684359,-73.977666,1367.372602739726,980.5808219178082,EL700X,2,11.111111111111109,2454.0001725623115,Atlantic Av - Barclay's Center,5.0
Atlantic Av - Barclay's Center,2345,"EL301,EL737X,EL300X,ES358X,ES310,EL306,EL303,EL304,EL305,EL307,EL302,EL700X,ES359X",235,40.684359,-73.977666,1367.372602739726,980.5808219178082,EL700X,2,11.111111111111109,2454.0001725623115,Atlantic Av - Barclay's Center,9.0
Atlantic Av - Barclay's Center,2345,"EL301,EL737X,EL300X,ES358X,ES310,EL306,EL303,EL304,EL305,EL307,EL302,EL700X,ES359X",235,40.684359,-73.977666,2226.241095890411,1627.2301369863014,EL700X,2,11.111111111111109,2454.0001725623115,Atlantic Av - Barclay's Center,5.0
