,station_name,label,line,direction,possible_stops,stop_id
268,Fulton St,3-south,3,south,"229N, 229S",229S
269,Fulton St,J-north,J,north,"M22N, M22S",M22N
270,Fulton St,Z-north,Z,north,"M22N, M22S",M22N
271,Gun Hill Rd,5-south,5,south,"208N, 208S, 503N, 503S",208S
272,Gun Hill Rd,2-south,2,south,"208N, 208S",208S
273,Gun Hill Rd,2-north,2,north,"208N, 208S",208N
274,Gun Hill Rd,5-north,5,north,"208N, 208S, 503N, 503S",208N
275,Hunts Point,6-south,6,south,"613N, 613S",613S
276,Hunts Point,6-north,6,north,"613N, 613S",613N
277,Jackson Hts - Roosevelt Av,F-south,F,south,"G14N, G14S",G14S
278,Jackson Hts - Roosevelt Av,R-north,R,north,"G14N, G14S",G14N
279,Jackson Hts - Roosevelt Av,E-south,E,south,"G14N, G14S",G14S
280,Jackson Hts - Roosevelt Av,M-north,M,north,"G14N, G14S",G14N
281,Jackson Hts - Roosevelt Av,E-north,E,north,"G14N, G14S",G14N
282,Jackson Hts - Roosevelt Av,M-south,M,south,"G14N, G14S",G14S
283,Jackson Hts - Roosevelt Av,7-north,7,north,"G14N, G14S",G14N
284,Jackson Hts - Roosevelt Av,7-south,7,south,"G14N, G14S",G14S
285,Jackson Hts - Roosevelt Av,R-south,R,south,"G14N, G14S",G14S
286,Jackson Hts - Roosevelt Av,F-north,F,north,"G14N, G14S",G14N
287,Jackson Hts - Roosevelt Av,M-manhattan,M,manhattan,"G14N, G14S",NULL
288,Jackson Hts - Roosevelt Av,R-manhattan,R,manhattan,"G14N, G14S",NULL
289,Jackson Hts - Roosevelt Av,E-manhattan,E,manhattan,"G14N, G14S",NULL
290,Jackson Hts - Roosevelt Av,F-manhattan,F,manhattan,"G14N, G14S",NULL
291,Jamaica - Van Wyck,E-south,E,south,"G07N, G07S",G07S
292,Jamaica - Van Wyck,E-north,E,north,"G07N, G07S",G07N
293,Jamaica Center Parsons/Archer,Z-north,Z,north,"G05N, G05S",G05N
294,Jamaica Center Parsons/Archer,J-south,J,south,"G05N, G05S",G05S
295,Jamaica Center Parsons/Archer,Z-south,Z,south,"G05N, G05S",G05S
296,Jamaica Center Parsons/Archer,E-north,E,north,"G05N, G05S",G05N
297,Jamaica Center Parsons/Archer,J-north,J,north,"G05N, G05S",G05N
298,Jamaica Center Parsons/Archer,E-south,E,south,"G05N, G05S",G05S
299,Jay St - MetroTech,C-south,C,south,"A41N, A41S",A41S
300,Jay St - MetroTech,C-north,C,north,"A41N, A41S",A41N
301,Jay St - MetroTech,F-north,F,north,"A41N, A41S",A41N
302,Jay St - MetroTech,F-south,F,south,"A41N, A41S",A41S
303,Jay St - MetroTech,R-north,R,north,"R29N, R29S",R29N
304,Jay St - MetroTech,A-north,A,north,"A41N, A41S",A41N
305,Jay St - MetroTech,A-south,A,south,"A41N, A41S",A41S
306,Jay St - MetroTech,R-south,R,south,"R29N, R29S",R29S
307,Junction Blvd,7-flushing,7,flushing,"707N, 707S",707N
308,Junction Blvd,7-manhattan,7,manhattan,"707N, 707S",707S
309,Kew Gardens / Union Tpk,E-jamaica,E,jamaica,"F06N, F06S",F06N
310,Kew Gardens / Union Tpk,F-jamaica,F,jamaica,"F06N, F06S",F06N
311,Kew Gardens / Union Tpk,F-manhattan,F,manhattan,"F06N, F06S",NULL
312,Kew Gardens / Union Tpk,E-manhattan,E,manhattan,"F06N, F06S",NULL
313,Kings Highway,H-brighton beach,H,brighton beach,"D35N, D35S",D35S
314,Kings Highway,Q-coney island,Q,coney island,"D35N, D35S, N08N",N08N
315,Kings Highway,C-brighton beach,C,brighton beach,"D35N, D35S",D35S
316,Kings Highway,Q-manhattan,Q,manhattan,"D35N, D35S, N08N",N08N
317,Kings Highway,B-manhattan,B,manhattan,"D35N, D35S",NULL
318,Kingsbridge Road,B-south,B,south,"D04N, D04S",D04S
319,Kingsbridge Road,D-south,D,south,"D04N, D04S",D04S
320,Kingsbridge Road,D-north,D,north,"D04N, D04S",D04N
321,Kingsbridge Road,B-north,B,north,"D04N, D04S",D04N
322,Lexington Av / 53 St,E-north,E,north,"F11N, F11S",F11N
323,Lexington Av / 53 St,M-south,M,south,"F11N, F11S",F11S
324,Lexington Av / 53 St,E-south,E,south,"F11N, F11S",F11S
325,Lexington Av / 53 St,M-north,M,north,"F11N, F11S",F11N
326,Marcy Av,Z-jamaica center,Z,jamaica center,"M16N, M16S",M16N
327,Marcy Av,M-jamaica center,M,jamaica center,"M16N, M16S",M16N
328,Marcy Av,J-jamaica center,J,jamaica center,"M16N, M16S",M16N
329,Marcy Av,Z-manhattan,Z,manhattan,"M16N, M16S",M16S
330,Marcy Av,J-manhattan,J,manhattan,"M16N, M16S",NULL
331,Marcy Av,M-manhattan,M,manhattan,"M16N, M16S",NULL
332,Myrtle Av / Wyckoff Av,L-south,L,south,"L17N, L17S",L17S
333,Myrtle Av / Wyckoff Av,M-north,M,north,"M08N, M08S",M08N
334,Myrtle Av / Wyckoff Av,L-north,L,north,"L17N, L17S",L17N
335,Myrtle Av / Wyckoff Av,M-south,M,south,"M08N, M08S",M08S
336,New Utrecht,D-north,D,north,"N04N, N04S",N04N
337,New Utrecht,D-south,D,south,"N04N, N04S",N04S
338,New Utrecht,N-north,N,north,"N04N, N04S",N04N
339,New Utrecht,N-south,N,south,"N04N, N04S",N04S
340,Ozone Park / Lefferts Blvd,A-south,A,south,"A65N, A65S",A65S
341,Ozone Park / Lefferts Blvd,A-north,A,north,"A65N, A65S",A65N
342,Pelham Bay Park,6-manhattan,6,manhattan,"601N, 601S",601S
